call_id,n_segments,total_chars
AAPL_2020Q1,66,44889
AAPL_2020Q2,50,45622
AAPL_2020Q3,71,44729
AAPL_2020Q4,47,48428
AAPL_2021Q1,52,47002
AAPL_2021Q2,57,46900
AAPL_2021Q3,79,47897
AAPL_2021Q4,60,48034
AAPL_2022Q1,55,44001
AAPL_2022Q2,80,46199
AAPL_2022Q3,59,45613
AAPL_2022Q4,61,46197
AAPL_2023Q1,54,44833
AAPL_2023Q2,62,45649
AAPL_2023Q3,63,45976
AAPL_2023Q4,84,48098
AAPL_2024Q1,63,43973
AAPL_2024Q2,84,45742
AAPL_2024Q3,75,45123
AAPL_2024Q4,83,44923
ABBV_2020Q1,55,68110
ABBV_2020Q2,76,72127
ABBV_2020Q3,86,73422
ABBV_2020Q4,77,76053
ABBV_2021Q1,89,68577
ABBV_2021Q2,77,72799
ABBV_2021Q3,79,73221
ABBV_2021Q4,61,74298
ABBV_2022Q1,75,65752
ABBV_2022Q2,62,73361
ABBV_2022Q3,69,62444
ABBV_2022Q4,82,86934
ABBV_2023Q1,60,20215
ABBV_2023Q2,68,69162
ABBV_2023Q3,64,66775
ABBV_2023Q4,83,74064
ABBV_2024Q1,76,68387
ABBV_2024Q2,75,62701
ABBV_2024Q3,59,58113
ABBV_2024Q4,78,70471
ABT_2020Q1,41,17445
ABT_2020Q2,38,11559
ABT_2020Q3,45,13963
ABT_2020Q4,38,13358
ABT_2021Q1,47,12278
ABT_2021Q2,41,17890
ABT_2021Q3,40,14650
ABT_2021Q4,36,13116
ABT_2022Q1,43,13244
ABT_2022Q2,50,10817
ABT_2022Q3,39,13419
ABT_2022Q4,38,13280
ABT_2023Q1,49,19566
ABT_2023Q2,37,10649
ABT_2023Q3,41,13476
ABT_2023Q4,31,11552
ABT_2024Q1,37,47433
ABT_2024Q2,50,50379
ABT_2024Q3,35,48694
ABT_2024Q4,47,48526
ACN_2020Q1,58,52160
ACN_2020Q2,49,54726
ACN_2020Q3,51,53290
ACN_2020Q4,45,51873
ACN_2021Q1,43,50562
ACN_2021Q2,60,51463
ACN_2021Q3,57,47545
ACN_2021Q4,59,52476
ACN_2022Q1,70,47986
ACN_2022Q2,61,53107
ACN_2022Q3,52,49715
ACN_2022Q4,60,52076
ACN_2023Q1,49,52288
ACN_2023Q2,66,54612
ACN_2023Q3,63,54813
ACN_2023Q4,56,55763
ACN_2024Q1,71,59290
ACN_2024Q2,57,53679
ACN_2024Q3,58,55193
ACN_2024Q4,74,55623
ADBE_2020Q1,62,49636
ADBE_2020Q2,51,54678
ADBE_2020Q3,64,54546
ADBE_2020Q4,62,129732
ADBE_2021Q1,68,59038
ADBE_2021Q2,74,55540
ADBE_2021Q3,68,54114
ADBE_2021Q4,68,108362
ADBE_2022Q1,61,60729
ADBE_2022Q2,74,56721
ADBE_2022Q3,63,57426
ADBE_2022Q4,52,58258
ADBE_2023Q1,59,55347
ADBE_2023Q2,51,56978
ADBE_2023Q3,57,56070
ADBE_2023Q4,57,58041
ADBE_2024Q1,62,62555
ADBE_2024Q2,59,59725
ADBE_2024Q3,44,53445
ADBE_2024Q4,45,55364
ADI_2020Q1,57,19038
ADI_2020Q2,45,42471
ADI_2020Q3,55,38364
ADI_2020Q4,41,38699
ADI_2021Q1,59,36479
ADI_2021Q2,66,36380
ADI_2021Q3,54,34919
ADI_2021Q4,44,36948
ADI_2022Q1,45,35984
ADI_2022Q2,49,34321
ADI_2022Q3,45,35174
ADI_2022Q4,45,38114
ADI_2023Q1,53,37787
ADI_2023Q2,51,38534
ADI_2023Q3,64,38333
ADI_2023Q4,46,36395
ADI_2024Q1,56,35829
ADI_2024Q2,45,34257
ADI_2024Q3,55,29835
ADI_2024Q4,49,38051
AIG_2020Q1,91,67110
AIG_2020Q2,67,45243
AIG_2020Q3,76,18317
AIG_2020Q4,66,17259
AIG_2021Q1,52,12661
AIG_2021Q2,41,13787
AIG_2021Q3,40,10845
AIG_2021Q4,41,13248
AIG_2022Q1,33,11418
AIG_2022Q2,32,8609
AIG_2022Q3,49,14270
AIG_2022Q4,33,13943
AIG_2023Q1,38,13813
AIG_2023Q2,41,10439
AIG_2023Q3,31,8404
AIG_2023Q4,38,10869
AIG_2024Q1,35,10899
AIG_2024Q2,41,57436
AIG_2024Q3,46,55435
AIG_2024Q4,39,54180
ALL_2020Q1,63,55247
ALL_2020Q2,76,52637
ALL_2020Q3,47,57114
ALL_2020Q4,49,55258
ALL_2021Q1,50,53005
ALL_2021Q2,47,54878
ALL_2021Q3,44,54679
ALL_2021Q4,47,55410
ALL_2022Q1,43,49378
ALL_2022Q2,61,54907
ALL_2022Q3,52,58084
ALL_2022Q4,50,58113
ALL_2023Q1,62,57166
ALL_2023Q2,47,59676
ALL_2023Q3,61,56851
ALL_2023Q4,59,58240
ALL_2024Q1,52,21152
ALL_2024Q2,56,55636
ALL_2024Q3,62,55921
ALL_2024Q4,57,56383
AMAT_2020Q1,62,57343
AMAT_2020Q2,55,54170
AMAT_2020Q3,62,53676
AMAT_2020Q4,64,53937
AMAT_2021Q1,74,53667
AMAT_2021Q2,53,53242
AMAT_2021Q3,58,51401
AMAT_2021Q4,61,19869
AMAT_2022Q1,84,52612
AMAT_2022Q2,59,54363
AMAT_2022Q3,97,50775
AMAT_2022Q4,73,49385
AMAT_2023Q1,75,46900
AMAT_2023Q2,98,53019
AMAT_2023Q3,82,50057
AMAT_2023Q4,86,49430
AMAT_2024Q1,80,50954
AMAT_2024Q2,72,49791
AMAT_2024Q3,71,49372
AMAT_2024Q4,76,49195
AMD_2020Q1,71,46682
AMD_2020Q2,80,45106
AMD_2020Q3,60,40050
AMD_2020Q4,92,61183
AMD_2021Q1,74,56815
AMD_2021Q2,73,58527
AMD_2021Q3,83,44344
AMD_2021Q4,83,46032
AMD_2022Q1,75,54948
AMD_2022Q2,68,48913
AMD_2022Q3,95,54180
AMD_2022Q4,64,52473
AMD_2023Q1,79,50730
AMD_2023Q2,84,52745
AMD_2023Q3,66,53114
AMD_2023Q4,60,52683
AMD_2024Q1,70,21939
AMD_2024Q2,64,47341
AMD_2024Q3,63,53739
AMD_2024Q4,49,50419
AMGN_2020Q1,89,69909
